iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ABW,mineral-extraction,copper-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,0.0,,annual,,
ABW,mineral-extraction,copper-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,0.0,,annual,,
ABW,mineral-extraction,copper-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,0.0,,annual,,
ABW,mineral-extraction,copper-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,0.0,,annual,,
ABW,mineral-extraction,copper-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,0.0,,annual,,
ABW,mineral-extraction,copper-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,0.0,,annual,,
ABW,mineral-extraction,copper-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,0.0,,annual,,
ABW,mineral-extraction,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,0.0,,annual,,
ABW,mineral-extraction,copper-mining,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,0.0,,annual,,
ABW,mineral-extraction,copper-mining,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,0.0,,annual,,
ABW,mineral-extraction,copper-mining,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,0.0,,annual,,
AFG,mineral-extraction,copper-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,0.0,,annual,,
AFG,mineral-extraction,copper-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,0.0,,annual,,
AFG,mineral-extraction,copper-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,0.0,,annual,,
AFG,mineral-extraction,copper-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,0.0,,annual,,
AFG,mineral-extraction,copper-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,0.0,,annual,,
AFG,mineral-extraction,copper-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,0.0,,annual,,
AFG,mineral-extraction,copper-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,0.0,,annual,,
AFG,mineral-extraction,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,0.0,,annual,,
AFG,mineral-extraction,copper-mining,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,0.0,,annual,,
AFG,mineral-extraction,copper-mining,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,0.0,,annual,,
AFG,mineral-extraction,copper-mining,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,0.0,,annual,,
AGO,mineral-extraction,copper-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,0.0,,annual,,
AGO,mineral-extraction,copper-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,0.0,,annual,,
AGO,mineral-extraction,copper-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,0.0,,annual,,
AGO,mineral-extraction,copper-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,0.0,,annual,,
AGO,mineral-extraction,copper-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,0.0,,annual,,
AGO,mineral-extraction,copper-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,0.0,,annual,,
AGO,mineral-extraction,copper-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,0.0,,annual,,
AGO,mineral-extraction,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,0.0,,annual,,
AGO,mineral-extraction,copper-mining,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,0.0,,annual,,
AGO,mineral-extraction,copper-mining,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,0.0,,annual,,
AGO,mineral-extraction,copper-mining,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,0.0,,annual,,
AIA,mineral-extraction,copper-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,0.0,,annual,,
AIA,mineral-extraction,copper-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,0.0,,annual,,
AIA,mineral-extraction,copper-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,0.0,,annual,,
AIA,mineral-extraction,copper-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,0.0,,annual,,
AIA,mineral-extraction,copper-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,0.0,,annual,,
AIA,mineral-extraction,copper-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,0.0,,annual,,
AIA,mineral-extraction,copper-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,0.0,,annual,,
AIA,mineral-extraction,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,0.0,,annual,,
AIA,mineral-extraction,copper-mining,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,0.0,,annual,,
AIA,mineral-extraction,copper-mining,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,0.0,,annual,,
AIA,mineral-extraction,copper-mining,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,0.0,,annual,,
ALA,mineral-extraction,copper-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,0.0,,annual,,
ALA,mineral-extraction,copper-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,0.0,,annual,,
ALA,mineral-extraction,copper-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,0.0,,annual,,
ALA,mineral-extraction,copper-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,0.0,,annual,,
ALA,mineral-extraction,copper-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,0.0,,annual,,
ALA,mineral-extraction,copper-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,0.0,,annual,,
ALA,mineral-extraction,copper-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,0.0,,annual,,
ALA,mineral-extraction,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,0.0,,annual,,
ALA,mineral-extraction,copper-mining,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,0.0,,annual,,
ALA,mineral-extraction,copper-mining,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,0.0,,annual,,
ALA,mineral-extraction,copper-mining,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,0.0,,annual,,
ALB,mineral-extraction,copper-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,11405.000002107416,,annual,,
ALB,mineral-extraction,copper-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,1201.0000002219208,,annual,,
ALB,mineral-extraction,copper-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,0.0,,annual,,
ALB,mineral-extraction,copper-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,15607.000002883864,,annual,,
ALB,mineral-extraction,copper-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,21610.000003993093,,annual,,
ALB,mineral-extraction,copper-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,25632.00000473628,,annual,,
ALB,mineral-extraction,copper-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,27262.000002518736,,annual,,
ALB,mineral-extraction,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,27558.00000254608,,annual,,
ALB,mineral-extraction,copper-mining,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,30225.000002792483,,annual,,
ALB,mineral-extraction,copper-mining,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,30225.000002792487,,annual,,
ALB,mineral-extraction,copper-mining,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,7484.876613261391,,annual,,
AND,mineral-extraction,copper-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,0.0,,annual,,
AND,mineral-extraction,copper-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,0.0,,annual,,
