Land,Sektor,Subsektor,Von,Bis,Gas,Emissionen,Einheit,Zeit,created_date,modified_date
ALB,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,0.0,,annual,,
ALB,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,0.0,,annual,,
ALB,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,0.0,,annual,,
ALB,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,0.0,,annual,,
ALB,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,0.0,,annual,,
ALB,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,0.0,,annual,,
ALB,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,0.0,,annual,,
AND,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,110714.0,,annual,,
AND,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,111018.0,,annual,,
AND,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,114598.0,,annual,,
AND,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,114598.0,,annual,,
AND,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,114598.0,,annual,,
AND,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,114912.0,,annual,,
AND,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,114598.0,,annual,,
AND,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,114598.0,,annual,,
AND,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,114598.0,,annual,,
AND,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,114912.0,,annual,,
AND,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,28257.0,,annual,,
ARE,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,84712923.0,,annual,,
ARE,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,86244437.0,,annual,,
ARE,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,88992413.0,,annual,,
ARE,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,89726850.0,,annual,,
ARE,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,89680243.0,,annual,,
ARE,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,87106559.0,,annual,,
ARE,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,88431978.0,,annual,,
ARE,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,83465536.0,,annual,,
ARE,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,80594279.0,,annual,,
ARE,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,80779219.0,,annual,,
ARE,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,16632267.0,,annual,,
ARG,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,62567512.0,,annual,,
ARG,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,63009065.0,,annual,,
ARG,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,60444182.0,,annual,,
ARG,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,58300199.0,,annual,,
ARG,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,52067274.0,,annual,,
ARG,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,53940047.0,,annual,,
